,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,NaN,NaN,NaN,NaN
21STCENMGM.NS,NaN,NaN,NaN,NaN
ARIHANTSUP.NS,-34596000.0,26691000.0,8643000.0,-12131000.0
ARMANFIN.NS,201007000.0,303401000.0,-94145144.0,102939487.0
AROGRANITE.NS,629405000.0,-31742000.0,221924000.0,162766000.0
ARROWGREEN.NS,NaN,NaN,NaN,NaN
ARSHIYA.NS,807162000.0,139507000.0,-1396653000.0,355013000.0
ARSSINFRA.NS,-579934000.0,130909000.0,481200000.0,-9800000.0
ARTEMISMED.NS,NaN,NaN,NaN,NaN
ARVIND.NS,956500000,2262300000,3094700000,3146300000
ARVINDFASN.NS,27000000.0,-26800000.0,66200000.0,32900000.0
ARVSMART.NS,-8660000.0,2759000.0,-70581000.0,97020000.0
ASAHIINDIA.NS,-138000000,27800000,5300000,-214500000
ASAHISONG.NS,NaN,NaN,NaN,NaN
ASAL.NS,80837000,-214638000,40837000,179609000
ASALCBR.NS,9718000,-6333000,-6817000,-2347000
ASHAPURMIN.NS,-197361000,-2173970000,-179207000,722497000
ASHIANA.NS,291000000,222700000,-110300000,-483500000
ASHIMASYN.NS,-22800000,61700000,37900000,-80200000
ASHOKA.NS,3813510000.0,-240921000.0,2079025000.0,-1014461000.0
ASHOKLEY.NS,4208500000.0,5493500000.0,2049000000.0,-6680513000.0
ASIANHOTNR.NS,,1049663000.0,1087925000.0,854931000.0
ASIANPAINT.NS,35100000,267000000,431400000,-250100000
ASIANTILES.NS,-238580000,93783000,47731000,10310000
ASPINWALL.NS,NaN,NaN,NaN,NaN
ASTEC.NS,958000,-1189000,-25120000,5956000
ASTERDM.NS,2766100000,3331100000,2688800000,1017600000
ASTRAL.NS,NaN,NaN,NaN,NaN
ASTRAMICRO.NS,NaN,NaN,NaN,NaN
ASTRAZEN.NS,-897400000,592600000,-5700000,383500000
ASTRON.NS,46775228.0,-148045249.0,147154000.0,-12683000.0
ATFL.NS,NaN,NaN,NaN,NaN
ATLANTA.NS,,22537991.0,5238907.0,-39484793.0
ATLASCYCLE.NS,,-5848646.0,-98720674.0,117925351.0
ATUL.NS,6664600000,4322300000,2764800000,3229700000
ATULAUTO.NS,-83400000.0,-70200000.0,-243066000.0,282904000.0
AUBANK.NS,6747845000,3818068000,2920396000,7618714000
AURIONPRO.NS,219306000.0,635980000.0,1321244000.0,1094443000.0
AUROPHARMA.NS,28309700000,23647300000,24231700000,23016600000
AUSOMENT.NS,NaN,NaN,NaN,NaN
AUTOAXLES.NS,NaN,NaN,NaN,NaN
AUTOIND.NS,8700000.0,-16812368.0,20616799.0,-4225518.0
AUTOLITIND.NS,,-3164000.0,6797000.0,-11115000.0
AVADHSUGAR.NS,22323000,-7561000,-260856000,273928000
AVANTIFEED.NS,-421592000,512080000,-337911000,-294955000
AVTNPL.NS,68315000,27960000,-36687000,26139000
AXISBANK.NS,NaN,NaN,NaN,NaN
AXISCADES.NS,141986000,173450000,-228658000,118880000
AYMSYNTEX.NS,174056000,58615000,80005000,405387000
BAGFILMS.NS,315278434.0,366292473.0,383645355.0,255678988.0
BAJAJ-AUTO.NS,2097400000,656700000,986100000,734800000
BAJAJCON.NS,1847739000.0,2215930000.0,2110845000.0,2182421000.0
BAJAJELEC.NS,-92804000,1563954000,836349000,1021685000
BAJAJFINSV.NS,33691300000,32190400000,26502600000,22619200000
BAJAJHIND.NS,2164100000,2118600000,1974500000,2146600000
BAJAJHLDNG.NS,NaN,NaN,NaN,NaN
BAJFINANCE.NS,52637500000.0,39949900000.0,24963700000.0,18363800000.0
BALAJITELE.NS,14283000.0,-2730000.0,122110000.0,-9491000.0
BALAMINES.NS,NaN,NaN,NaN,NaN
BALAXI.NS,255000.0,255000.0,255000.0,255000.0
BALKRISHNA.NS,-141668000,-34849000,-364232000,39640000
BALKRISIND.NS,6500000,197100000,38600000,-3057000000
BALLARPUR.NS,NaN,NaN,NaN,NaN
BALMLAWRIE.NS,-323234000,-209294000,236700000,-92500000
BALPHARMA.NS,231012000.0,77576000.0,5791000.0,63145000.0
BALRAMCHIN.NS,-6252000.0,-3339000.0,4210000.0,-41310000.0
BANARBEADS.NS,-1061594.0,-3018739.0,-38646730.0,21470850.0
BANARISUG.NS,-572360000.0,-1919888000.0,5883986000.0,6446526000.0
BANCOINDIA.NS,490589000,-385643000,88903000,-298328000
BANDHANBNK.NS,30237375528,19515018926,13455568149,11119527375
BANG.NS,1057000,-1468147,-30694494,-4679284
BANKBARODA.NS,331202330000.0,4620935000.0,-566922534000.0,171159457000.0
BANKINDIA.NS,-82509357000,-11642375000,-4404764000,-30400093000
BANSWRAS.NS,-45127000,43622000,-41416000,-24804000
BARTRONICS.NS,,92291000.0,-38038000.0,35655000.0
BASF.NS,5538200000.0,-771500000.0,2900000000.0,2210700000.0
BASML.NS,236425000,-60214000,-12403000,119207000
BATAINDIA.NS,-433680000,40680000,-71830000,-280100000
BAYERCROP.NS,4887000000.0,-1402000000.0,-4214000000.0,756000000.0
BBL.NS,5706000,-12186000,-96141000,116899000
BBTC.NS,353041000,-354598000,256487000,273590000
BCG.NS,1795300000.0,1350548508.0,1081497629.0,957425118.0
BCP.NS,-2504216,-374916875,468124493,-40104705
BDL.NS,2801732000.0,-148342000.0,-631173000.0,-5833787000.0
BEARDSELL.NS,-24828000,16678000,-4687000,3034000
BEDMUTHA.NS,3377000.0,-213553000.0,92865000.0,57448000.0
BEL.NS,NaN,NaN,NaN,NaN
BEML.NS,1058389000,2568191000,1297360000,2086321000
BEPL.NS,881223000.0,534653000.0,1919798000.0,781442000.0
BERGEPAINT.NS,6578100000,4943000000,4608300000,4736600000
BFINVEST.NS,7590000.0,1170000.0,4123000.0,149774830.0
BFUTILITIE.NS,54246000.0,-24140000.0,-79650000.0,72661834.0
BGRENERGY.NS,-14000000.0,-67400000.0,-977700000.0,-72900000.0
BHAGERIA.NS,39203000,-9413000,-63434000,96196000
BHAGYANGR.NS,485922285.0,-481020732.0,279082450.0,-143717968.0
BHAGYAPROP.NS,67147811,72829453,37036302,-11522315
BHANDARI.NS,50144000,43523000,41401000,30719000
BHARATFORG.NS,264090000,832290000,-693240000,-333700000
BHARATGEAR.NS,41722000.0,-109915000.0,124145000.0,-28404000.0
BHARATRAS.NS,400511000,42743000,1822000,-3423000
BHARATWIRE.NS,NaN,NaN,NaN,NaN
BHARTIARTL.NS,-321832000000,4095000000,10990000000,37998000000
BHEL.NS,6071200000.0,-19729400000.0,12828900000.0,-4726200000.0
BIGBLOC.NS,56349789.0,41268780.0,54555531.0,48186572.0
BIL.NS,212731000,197904000,174666000,180544270
BILENERGY.NS,,34732000.0,49326000.0,42311000.0
BINDALAGRO.NS,10667000.0,-12845000.0,-44781000.0,43594000.0
BIOCON.NS,NaN,NaN,NaN,NaN
BIOFILCHEM.NS,10432000,95112000,4635000,7114000
BIRLACABLE.NS,133390000,-800000,-1146000,-74146000
BIRLACORPN.NS,-439400000.0,-141300000.0,152600000.0,-240484000.0
BIRLAMONEY.NS,316904277.0,-14144081.0,-98684626.0,31486114.0
BIRLATYRE.NS,927800000.0,300000.0,,
BKMINDST.NS,329000000.0,-354300000.0,414800000.0,241800000.0
BLBLIMITED.NS,60813000.0,-34804000.0,28345000.0,-48554000.0
BLISSGVS.NS,NaN,NaN,NaN,NaN
BLKASHYAP.NS,NaN,NaN,NaN,NaN
BLS.NS,-453196000,-197176000,266807112,172278079
BLUEDART.NS,-1685600000,424700000,-250400000,-356000000
BLUESTARCO.NS,NaN,NaN,NaN,NaN
BODALCHEM.NS,NaN,NaN,NaN,NaN
BOMDYEING.NS,NaN,NaN,NaN,NaN
BOROLTD.NS,6000.0,6000.0,,
BORORENEW.NS,261956000,-245092000,1030973000,434120000
BOSCHLTD.NS,642000000.0,-1717000000.0,2338000000.0,330000000.0
BPCL.NS,3291100000,-869800000,-2148700000,-14288700000
BPL.NS,84439000.0,-65335000.0,37216000.0,-600507000.0
BRFL.NS,1382700000.0,1594200000.0,1595400000.0,1648900000.0
