,2020-03-31,2019-03-31,2018-03-31,2017-03-31
WOODSVILA.bo,-102286.0,730412.0,-729980.0,-4636.0
TRANSFIN.bo,NaN,NaN,NaN,NaN
GUJCRAFT.bo,2969000,3602000,3350000,-372000
HEERAISP.bo,NaN,NaN,NaN,NaN
DHOOTIN.bo,7486906,6697407,7319247,8034194
CRIMSON.bo,NaN,NaN,NaN,NaN
SHBAJRG.bo,101573000.0,-164992000.0,-36647000.0,-56857528.0
ASHOKRE.bo,NaN,NaN,NaN,NaN
URJAGLOBA.bo,-35086254.0,-14809283.0,60067525.0,-7114272.0
ASHAPURMIN.bo,111730000,672282000,28698000,37096000
SHREEPAC.bo,3161048.0,-596107.0,3211761.0,-425516.0
GUJALKALI.bo,6297150000,8377939000,5138540000,5020981000
INDIACEM.bo,-363158000.0,135623000.0,-326360000.0,-787475000.0
JKTYRE.bo,3759100000.0,3138100000.0,2981100000.0,2905900000.0
MANGCHEFER.bo,NaN,NaN,NaN,NaN
SIL.bo,13958000,7423000,11394000,9210000
JUBILANT.bo,15429380000,11215110000,13032000000,12684870000
THEINVEST.bo,NaN,NaN,NaN,NaN
SAMYAKINT.bo,,612990198.0,-13205549.0,18214390.0
SANTOSHF.bo,25657000,-12410000,-1656000,-14408000
SREEJAYA.bo,196857.0,10300.0,-8570556.0,2253002.0
ACKNIT.bo,-749770.0,7281168.0,-1502492.0,6195674.0
TITANSEC.bo,NaN,NaN,NaN,NaN
MOHOTAIND.bo,312855000.0,85501000.0,107791000.0,74627000.0
REALECO.bo,NaN,NaN,NaN,NaN
HRMNYCP.bo,NaN,NaN,NaN,NaN
VIVANZA.bo,-16606875.0,-10539815.0,-9723450.0,3944588.0
YASHRAJC.bo,30000,68000,272000,138000
LORDSHOTL.bo,263000,5783556,-648560,-8802328
CSLFINANCE.bo,329248000.0,-154078000.0,-1087682752.0,-133468461.0
SANGHVIMOV.bo,1403776000.0,1408205000.0,1367344000.0,1499845000.0
SELAN.bo,410735000,995266000,672362000,374781000
FRSHTRP.bo,-1586000.0,4747000.0,1342000.0,794000.0
FAZE3Q.bo,81000000.0,53500000.0,66900000.0,69600000.0
PRADHIN.bo,NaN,NaN,NaN,NaN
ANUPAM.bo,NaN,NaN,NaN,NaN
RAJPACK.bo,158000.0,237000.0,338000.0,189000.0
FAIRCHEM.bo,627311000,467428000,431033000,266048000
NATRAJPR.bo,2688588,20401722,33233611,-20013532
SAMRATPH.bo,NaN,NaN,NaN,NaN
NPRFIN.bo,-9325165.0,-683836.0,-8622162.0,-14369394.0
NILE.bo,36562000.0,38511000.0,38794000.0,34190000.0
UDAICEMENT.bo,-500000,2500000,3448000,4413000
AMCOIND.bo,8609645,328966,272709,432811
OPTIEMUS.bo,16500000.0,116200000.0,,25400000.0
KREONFIN.bo,-7311650.0,269140.0,-1533167.0,-1507264.0
GYANDEV.bo,NaN,NaN,NaN,NaN
KISAN.bo,27537000.0,-725000.0,-9014000.0,-10867000.0
VIJAYTX.bo,NaN,NaN,NaN,NaN
GARODCH.bo,NaN,NaN,NaN,NaN
KERALAYUR.bo,-6786100.0,-5025280.0,24115356.0,1446910.0
MONGIPA.bo,236000,113491,167510,235472
MOHITPPR.bo,17251000,-58582000,96185000,-28982420
DAULAT.bo,321785.0,337722.0,314395.0,294000.0
OSCARGLO.bo,-33732,-22803,-200009,-174801
ODYSSEY.bo,41488000,20542000,9469000,5398000
SPSINT.bo,8383000.0,5428780.0,2630645.0,5080697.0
RSCINT.bo,NaN,NaN,NaN,NaN
SURATEX.bo,4639000,3506000,4975000,7893000
ATHARVENT.bo,440369.0,466194.0,424284.0,436722.0
CHROMATIC.bo,-4720000,-9351000,55989000,11903000
FUNDVISER.bo,NaN,NaN,NaN,NaN
THEMISMED.bo,82720000.0,79903000.0,74151000.0,74704000.0
KALLAM.bo,-10324215,-10324608,-8245823,-6851100
BRAWN.bo,14621180.0,-14035190.0,-20306930.0,-38212650.0
FORINTL.bo,4607582.0,-60065492.0,-27093280.0,2138544.0
KINGSINFR.bo,2737515.0,405495.0,637117.0,403031.0
NUTRICIRCLE.bo,NaN,NaN,NaN,NaN
SUBSM.bo,-6880974.0,-4715086.0,2920700.0,-5892626.0
AUROLAB.bo,-15353188,-15718564,-12341798,-5727237
KJMCFIN.bo,,897000.0,661000.0,950000.0
SUVEN.bo,41671000.0,140385000.0,245399000.0,275771000.0
ARYAMAN.bo,1264000.0,1431000.0,1340000.0,1276000.0
BRIDGESE.bo,3000.0,-436.0,-124869.0,1399.0
RAJTUBE.bo,883000,982000,1074000,1277000
INTSTOIL.bo,NaN,NaN,NaN,NaN
GLOBALCA.bo,161300.0,12210034.0,9482257.0,11574227.0
SAINIK.bo,71000.0,87000.0,89839.0,93154.0
SABOOBR.bo,NaN,NaN,NaN,NaN
QUANTDIA.bo,-1320.0,-1320.0,-1320.0,-1320.0
SPCAPIT.bo,,,1146773.0,-4095126.0
PAOS.bo,NaN,NaN,NaN,NaN
KOTHARIPRO.bo,-37100000,3000000,7300000,7900000
PICCADIL.bo,131478678,125536244,127265956,130194221
CHAMANSEQ.bo,7863000.0,2630000.0,1072000.0,25425000.0
CHANDRAP.bo,959397.0,2011476.0,1955876.0,1959333.0
KIMIABL.bo,NaN,NaN,NaN,NaN
HINDTIN.bo,85650824,76194741,79137000,79477000
GODAVARI.bo,2093000,2447000,6770000,8023000
PREMCO.bo,46137000,27066000,27136000,28534000
MUKESHB.bo,1896638,1624483,1511137,1498968
GENUSPOWER.bo,215251000.0,188065000.0,165038000.0,149296000.0
ASIANOI.bo,890756000.0,269340000.0,273347000.0,-182193000.0
KBSINDIA.bo,,1695991.0,-1012500.0,-1012500.0
SEAGOLD.bo,NaN,NaN,NaN,NaN
UGARSUGAR.bo,NaN,NaN,NaN,NaN
ORIENTBELL.bo,NaN,NaN,NaN,NaN
NRBBEARING.bo,1020800000,706800000,1334800000,850800000
VAMSHIRU.bo,-19654859,25696347,-1609000,-49885000
NILA.bo,17425000.0,18603000.0,17215000.0,16164000.0
DBSTOCKBRO.bo,-25637928.0,-83585473.0,-93844980.0,116900931.0
VINYOFL.bo,-6913000,-6913000,9351000,-14079000
VALLABH.bo,,,358000.0,-350000.0
JINDCAP.bo,NaN,NaN,NaN,NaN
EPIC.bo,,,1000000.0,1000000.0
SUMEDHA.bo,5259061,5171658,4956345,4368312
KUWERIN.bo,-9332000.0,-972581.0,-5816943.0,-13416743.0
CHOKSI.bo,18970000,-16709000,27759000,29241000
ASHISHPO.bo,NaN,NaN,NaN,NaN
ADORFO.bo,31600000,32200000,34600000,37600000
SHIVAAGRO.bo,NaN,NaN,NaN,NaN
SIDDHA.bo,,908226.0,-1450000.0,-940000.0
MAHAN.bo,NaN,NaN,NaN,NaN
SUMERUIND.bo,-885548.0,-2080150.0,-2497536.0,-2696018.0
RUNGTAIR.bo,50332000,14750000,5640000,24701000
CINERAD.bo,NaN,NaN,NaN,NaN
VALSONQ.bo,NaN,NaN,NaN,NaN
SABOOSOD.bo,16912121.0,14663363.0,15763527.0,18076000.0
GSLSEC.bo,NaN,NaN,NaN,NaN
TINNARUBR.bo,75559000.0,72694000.0,71761000.0,67529000.0
VIKRAMTH.bo,NaN,NaN,NaN,NaN
AKCAPIT.bo,68650000,24735000,25033000,25500701
RELAXO.bo,3189000000.0,1234700000.0,1542500000.0,1802000000.0
VIRAT.bo,-169000.0,-5690000.0,-5690000.0,-11477000.0
TERAI.bo,NaN,NaN,NaN,NaN
MANRAJH.bo,14738.0,7744.0,-22482.0,-22482.0
MARG.bo,,22100000.0,-18600000.0,-427300000.0
COSCO.bo,NaN,NaN,NaN,NaN
SHILPAMED.bo,NaN,NaN,NaN,NaN
PARACABLES.bo,131316054,-175639648,201033621,520047885
NCLRESE.bo,,,,30570450.0
SSLFINANCE.bo,NaN,NaN,NaN,NaN
EXPLICITFIN.bo,-240984.0,-1060.0,185906.0,628028.0
LADDERUP.bo,5203179,1023190,529527,250740
UYFINCORP.bo,NaN,NaN,NaN,NaN
EKAMLEA.bo,,-642978.0,-642978.0,-642978.0
SWASTIKA.bo,NaN,NaN,NaN,NaN
PRIMAPLA.bo,47889151.0,40160731.0,25369970.0,9596331.0
TELECANOR.bo,-11674000,-11674000,-11674000,-11674000
JAGSONFI.bo,708.0,1366.0,1366.0,
CARNATIN.bo,2089000.0,3345000.0,944000.0,1275000.0
GARGFUR.bo,13165615,12672732,13109065,13590583
SAMPRE.bo,181616.0,245331.0,984862.0,192125.0
AAIL.bo,1461000.0,2204000.0,1263000.0,1203000.0
VIPULORG.bo,908000.0,4315000.0,4814000.0,3649000.0
ECORECO.bo,4786472.0,4730055.0,3803143.0,3435311.0
GOODLUCK.bo,10626000.0,34381000.0,32680000.0,18890000.0
GOYALASS.bo,,2965.0,2965.0,2965.0
ZENITHHE.bo,-612.0,-416.0,-416.0,-416.0
PRESOFI.bo,,-8500.0,-123350.0,-123350.0
YORKEXP.bo,NaN,NaN,NaN,NaN
SUPREME.bo,3041000,1275000,438000,21000
PITHP.bo,NaN,NaN,NaN,NaN
LYKISLTD.bo,7446000,6859000,4790000,4200000
PRIMEPRO.bo,-224000.0,-1062000.0,-399350.0,-1145332.0
ZENLABS.bo,586010,866011,866011,866011
FLORATX.bo,-5104750.0,3395893.0,-1501198.0,85707.0
GOWRALE.bo,4368.0,17000.0,16000.0,5632.0
JAGANLAM.bo,12046000,12184000,11743000,12341625
AJEL.bo,,26562000.0,26562000.0,26562000.0
ALPSINDUS.bo,NaN,NaN,NaN,NaN
ASITCFIN.bo,21265010.0,21977520.0,21283460.0,20740960.0
NOVAPUB.bo,-1424.0,-968.0,438430.0,-1988.0
SUPERBAK.bo,-376199.0,-392344.0,395366.0,-376769.0
OVOBELE.bo,4526000.0,4379000.0,3499000.0,3900000.0
INDOASIAF.bo,1962.0,8355.0,9956.0,4241.0
CORNE.bo,350.0,49140.0,46670.0,57450.0
STERTOOLS.bo,240801000.0,189404000.0,175115000.0,165754000.0
DEVKI.bo,15000.0,15000.0,15000.0,15000.0
KLGCAP.bo,1120000.0,-431659.0,1400.0,-2639.0
INFRAIND.bo,NaN,NaN,NaN,NaN
DYNAMICP.bo,,,2000000.0,2000000.0
TRANSASIA.bo,NaN,NaN,NaN,NaN
INLANPR.bo,NaN,NaN,NaN,NaN
CEEJAY.bo,1240000.0,1197000.0,1226000.0,1381000.0
SUNCITYSY.bo,,322351.0,1410317.0,491293.0
SHGANEL.bo,-1451634.0,20207796.0,13424005.0,-11373629.0
ANNAINFRA.bo,-611000,-503000,-409000,-564000
BHAGIL.bo,229617000,221843000,228832000,60371000
OIVL.bo,1616.0,894900.0,-1268500.0,-18000.0
REGALIAA.bo,,,-437000.0,-588000.0
BNRUDY.bo,615927.0,1466581.0,2134541.0,2132437.0
KRBL.bo,726600000,641600000,675200000,611682000
REFNOL.bo,415000,300000,435000,314000
SSPDL.bo,4503277,915503,3186701,4528681
DAIKAFFI.bo,2945000.0,1849000.0,1849000.0,1849000.0
CILSEC.bo,8591194,6346180,3561288,3523622
CLIOINFO.bo,3432.0,3507.0,486925.0,5792.0
SHRIBCL.bo,39242000.0,-33124875.0,3869931.0,-12566321.0
CUPID.bo,24996000,19659000,21506000,20894000
SUNSHIEL.bo,-11620000.0,37881000.0,-88708000.0,51885000.0
HIPOLIN.bo,1894000.0,1367994.0,943823.0,976075.0
GDLLEAS.bo,NaN,NaN,NaN,NaN
COSBOARD.bo,NaN,NaN,NaN,NaN
CHEMBOND.bo,NaN,NaN,NaN,NaN
CIFL.bo,299207000.0,-4532263000.0,-47604499.0,-388073928.0
ABVL.bo,NaN,NaN,NaN,NaN
SUCROSA.bo,9747000.0,8381000.0,7564000.0,6099000.0
ALKA.bo,,,70475000.0,47189000.0
NGIND.bo,NaN,NaN,NaN,NaN
ASIAPAK.bo,-7302734.0,-5775153.0,-6629107.0,-8213451.0
SAINDUS.bo,NaN,NaN,NaN,NaN
SICAPIT.bo,-2135000,-2729000,-13137883,-1291239
ERPSOFT.bo,NaN,NaN,NaN,NaN
JRFOODS.bo,NaN,NaN,NaN,NaN
RRSECUR.bo,10233.0,-3728.0,1039.0,-15000.0
REMSONSIND.bo,31000.0,30000.0,32000.0,361000.0
RAMSONS.bo,-2002000,-7194000,2546209,-2104435
EUROASIA.bo,NaN,NaN,NaN,NaN
STANPACK.bo,5831000,6225000,6818000,7110000
SABTN.bo,,11127857.0,-5918409.0,-761315386.0
RAMINFO.bo,11800000.0,4102000.0,5237000.0,4316000.0
SUNILAGR.bo,14731596,16167944,11232176,12896193
DIANATEA.bo,3509000.0,12451000.0,23644000.0,13426000.0
VIKASECO.bo,44271357.0,-37431089.0,-98770468.0,4201269.0
IOC.bo,28648200000,26084100000,25931300000,26822400000
ALFAICA.bo,90254,209955,102202,145768
SKCIL.bo,115211000,117437000,65157000,43858000
INDIAHOME.bo,2267252.0,3119781.0,1919413.0,562991.0
JPTSEC.bo,162000.0,162000.0,483600.0,8382800.0
ROOPAIND.bo,7626000,5724979,5247814,5118680
SARTHAKGL.bo,NaN,NaN,NaN,NaN
UNIQUEO.bo,-133088,-9274,-86285,1589586
BALAMINES.bo,316229837,195538589,192879289,197119172
SWRNASE.bo,,-2853625.0,-2853625.0,-1343950.0
ARISE.bo,NaN,NaN,NaN,NaN
VISAGAR.bo,,,-29250.0,-45257999.0
LIBORD.bo,-1042800.0,-2410684.0,-1860755.0,-2385271.0
REGAL.bo,,,,
JRELTD.bo,,-1121676.0,-996156.0,-996156.0
COMPEAU.bo,12156000,23035000,15960000,15960000
ZDHJERK.bo,NaN,NaN,NaN,NaN
NEELKAN.bo,,-2357003.0,-2502681.0,-1380711.0
VINTAGES.bo,,14832.0,14832.0,8490.0
OSWALOR.bo,321901133,-523434330,-349712236,-77393129
CONTILI.bo,3603690.0,795198.0,11113840.0,1709314.0
VIJSOLX.bo,20540000,15757000,15002000,13899000
SHRIKRISH.bo,1671051,1751669,2013858,2252092
ALANKIT.bo,25138000.0,487000.0,3625000.0,103808.0
NIHARINF.bo,,-7628463.0,-9027910.0,-5683094.0
TULIPSTA.bo,NaN,NaN,NaN,NaN
UNITDCR.bo,-755205.0,11670.0,11670.0,11670.0
OMMETALS.bo,92485000.0,100672000.0,120009000.0,114357783.0
RUBRAME.bo,NaN,NaN,NaN,NaN
ISHANCH.bo,17777713.0,12688264.0,8437493.0,15464173.0
GOTHIPL.bo,NaN,NaN,NaN,NaN
AMAZEENT.bo,NaN,NaN,NaN,NaN
CEENIK.bo,23717854.0,394177.0,632764.0,4583127.0
PATELENG.bo,661860000.0,501950000.0,542730000.0,780360000.0
VIRTUALS.bo,4935538.0,2917539.0,2913311.0,3134229.0
MENAMANI.bo,NaN,NaN,NaN,NaN
INANI.bo,-652000.0,-650500.0,-650500.0,-1626250.0
GEMSI.bo,,,2400000.0,2400000.0
MEDICAMEQ.bo,24340531.0,21583925.0,20154969.0,19133725.0
ALICON.bo,422062000.0,371743000.0,315078000.0,271113000.0
EPSOMPRO.bo,,1503302.0,1095107.0,1625591.0
ALFAVIO.bo,,,-5804170.0,-93578.0
ORGCOAT.bo,655000,1215000,1000654,1057054
CATVISION.bo,224620.0,-1205032.0,2126824.0,1651779.0
ABMKNO.bo,NaN,NaN,NaN,NaN
EMAMILTD.bo,-33343000,-23999000,28362000,-84440000
KEMISTAR.bo,NaN,NaN,NaN,NaN
LADIAMO.bo,NaN,NaN,NaN,NaN
SKPSEC.bo,6036000,2825000,2293000,2516000
PRANAVSP.bo,NaN,NaN,NaN,NaN
SYSCHEM.bo,,-108334000.0,-74244000.0,28551000.0
MEFCOMCAP.bo,6778699.0,6275153.0,6209499.0,7443762.0
HEMANG.bo,185000,212000,210000,161000
ARMANFIN.bo,7984000.0,4844000.0,3732412.0,2942396.0
TAVERNIER.bo,37000.0,1021000.0,1182000.0,35000.0
MIDINFRA.bo,1437000.0,1400000.0,1771000.0,1771000.0
GAGANPO.bo,54948521.0,54948521.0,54948521.0,54948521.0
DHANADACO.bo,74000.0,119327.0,-379934.0,48763.0
GLANCE.bo,29837967,11622332,41411830,-12875132
SHILCTECH.bo,25769000,24165000,11251000,13530000
BRANDREAL.bo,892008,1005603,1198600,1319114
KANSAFB.bo,NaN,NaN,NaN,NaN
NUCLEUS.bo,NaN,NaN,NaN,NaN
COLINZ.bo,2073763.0,696078.0,1924056.0,579968.0
WELLNESS.bo,,9874.0,38483.0,21905.0
NALINLEA.bo,3446230.0,2004800.0,67829.0,413672.0
MANAPPURAM.bo,-36252900000,-16614320000,-331650000,-12706910000
RTSPOWR.bo,,185451000.0,65952000.0,96940163.0
COMFINTE.bo,1925000.0,2657286.0,1330901.0,2457066.0
SHYAMAINFO.bo,NaN,NaN,NaN,NaN
MAYURFL.bo,NaN,NaN,NaN,NaN
ANJANI.bo,72895.0,746519.0,5678077.0,1248088.0
XTGLOBAL.bo,NaN,NaN,NaN,NaN
DECOMIC.bo,768000,288000,463626,1013764
RANDER.bo,963732.0,-2922151.0,912666.0,-7752442.0
RASIELEC.bo,NaN,NaN,NaN,NaN
VICTORYPP.bo,-30148423.0,-31755074.0,-4753852.0,-4753852.0
CITIPOR.bo,32836.0,27074.0,76063.0,352797.0
DHRUVCA.bo,120000.0,68308.0,68308.0,77445.0
LINCPENQ.bo,362000.0,268000.0,162000.0,34000.0
PRIMAIN.bo,-5054350.0,871081.0,-201427.0,-65172.0
ANERI.bo,2083477.0,2356253.0,1453171.0,1453171.0
INDGELA.bo,19533000.0,23150000.0,27465000.0,39699000.0
OPTIFIN.bo,4793000.0,1571000.0,1031081.0,284997.0
PARAGONF.bo,701000.0,1047000.0,1453699.0,1764060.0
PRATIKSH.bo,1068000.0,1514000.0,766000.0,461000.0
ESHAMEDIA.bo,,45559967.0,23822050.0,22481810.0
VSTTILLERS.bo,49980001,220794961,252604001,-37135474
B2BSOFT.bo,5712543,3960502,2893724,2327694
NIKKIGL.bo,NaN,NaN,NaN,NaN
RADHEDE.bo,9990653,57495430,-3159000,-21702000
KINETRU.bo,-340000,-1668061,-1668061,-1668061
ELIXIR.bo,5314000,-401660,-125140,1936910
TRISHAKT.bo,700000.0,866000.0,1003000.0,1395000.0
PANKAJPO.bo,NaN,NaN,NaN,NaN
PGINDST.bo,957100,1004344,725069,1000640
CINDRELL.bo,NaN,NaN,NaN,NaN
NATPLASTI.bo,NaN,NaN,NaN,NaN
LEADFIN.bo,-289000.0,-113000.0,-1760.0,-312234.0
NATFIT.bo,24325028,26467748,26467748,10495226
ARTEFACT.bo,9918226.0,8217868.0,7975450.0,7687783.0
AMITINT.bo,,882812.0,882812.0,882812.0
HIGHSTREE.bo,,-1000000.0,-1000000.0,-1000000.0
NUTECGLOB.bo,5188624,5070007,5852168,5991835
DHPIND.bo,17538477,13446250,13544109,14652149
RRIL.bo,NaN,NaN,NaN,NaN
AVAILFC.bo,,,,1500000.0
INTCAPM.bo,1425120.0,-1480710.0,-1480710.0,-1480710.0
MARUTISE.bo,NaN,NaN,NaN,NaN
HAVISHA.bo,NaN,NaN,NaN,NaN
JAYIND.bo,NaN,NaN,NaN,NaN
ROSELABS.bo,,-437000.0,120000000.0,120000000.0
