,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,NaN,NaN,NaN,NaN
21STCENMGM.NS,NaN,NaN,NaN,NaN
ARCHIES.NS,67560000.0,67560000.0,67560000.0,67560000.0
ARCOTECH.NS,803510000.0,910858000.0,753285000.0,1041836000.0
ARENTERP.NS,674000.0,609480.0,1408360.0,1588317.0
ARIES.NS,455527883.0,346874502.0,227992334.0,476212833.0
ARIHANT.NS,6541000000.0,3683685317.0,4371665923.0,4648193372.0
ARIHANTSUP.NS,1466906000.0,1470028000.0,2122049000.0,1795749000.0
ARMANFIN.NS,8961639000.0,7528462000.0,4645114413.0,2152797739.0
AROGRANITE.NS,153000000.0,153000000.0,153000000.0,153000000.0
ARROWGREEN.NS,NaN,NaN,NaN,NaN
ARSHIYA.NS,1097760000.0,1039387000.0,1167651000.0,1242401000.0
ARSSINFRA.NS,17627923000.0,18902682000.0,18760500000.0,19167000000.0
ARTEMISMED.NS,NaN,NaN,NaN,NaN
ARVIND.NS,1857900000,1205000000,2345700000,1281000000
ARVINDFASN.NS,761900000.0,570900000.0,529100000.0,189400000.0
ARVSMART.NS,2296154000,3075667000,851188000,797894000
ASAHIINDIA.NS,728900000,761300000,538100000,371900000
ASAHISONG.NS,NaN,NaN,NaN,NaN
ASAL.NS,1853143000,2430826000,1769725000,2047820000
ASALCBR.NS,2735265000.0,2443085000.0,2009210000.0,1692202000.0
ASHAPURMIN.NS,18200895000.0,9914687000.0,12859598000.0,13045892000.0
ASHIANA.NS,2029300000.0,1782100000.0,2583600000.0,3452700000.0
ASHIMASYN.NS,531700000.0,929700000.0,1284500000.0,1284500000.0
ASHOKA.NS,26961158000.0,23785295000.0,23004867000.0,19052775000.0
ASHOKLEY.NS,19887200000,20880500000,19175000000,7820855000
ASIANHOTNR.NS,194532000.0,194532000.0,194532000.0,194532000.0
ASIANPAINT.NS,161547700000,162781000000,137830800000,124213500000
ASIANTILES.NS,300874000.0,300874000.0,300874000.0,300874000.0
ASPINWALL.NS,NaN,NaN,NaN,NaN
