,2020-03-31,2019-03-31,2018-03-31,2017-03-31
NXTDIGITAL.bo,NaN,NaN,NaN,NaN
HMT.bo,3556000000.0,3556016000.0,12040916000.0,12040916000.0
PRAGBOS.bo,-1072268516.0,-933318403.0,-820525238.0,-646419943.0
HLVLTD.bo,NaN,NaN,NaN,NaN
IGPL.bo,307949000.0,307949000.0,307949000.0,307949000.0
INDIAGLYCO.bo,40862334000,37843234000,34214922000,34922506000
INDLEASE.bo,-54121000.0,127250.0,127250.0,127250.0
MARGOFIN.bo,34135000.0,70298000.0,139252.0,121784.0
INDORAMA.bo,2611100000.0,1781100000.0,1518200000.0,1518200000.0
INFY.bo,1138000000.0,1368000000.0,1078000000.0,1206000000.0
INGERRAND.bo,131368000.0,106328000.0,171047000.0,306990000.0
INSILCO.bo,13718000.0,3080000.0,6798000.0,5061000.0
IFSL.bo,367542864.0,437861903.0,350361833.0,299720685.0
ITHL.bo,79945000.0,79945000.0,79945000.0,79945000.0
IONEXCHANG.bo,13821851000.0,11652462000.0,10652240000.0,9707357000.0
ATFL.bo,243690000.0,243690000.0,243690000.0,243690000.0
JISLJALEQS.bo,1031300000.0,1031320000.0,1031320000.0,958920000.0
JASCH.bo,465657000.0,417619000.0,337824000.0,293052000.0
JCTLTD.bo,2096066000,2096066000,1495315000,1495315000
JINDALPOLY.bo,437864000.0,437864000.0,437864000.0,437864000.0
JSWSTEEL.bo,1318200000000.0,1149140000000.0,920180000000.0,880890000000.0
UMANGDAIR.bo,5055000.0,13512000.0,16771000.0,14311000.0
KAJARIACER.bo,24386000000.0,23732300000.0,21402900000.0,20401200000.0
KAKATCEM.bo,1333533000.0,1408284000.0,933907000.0,701974000.0
KSL.bo,218270000.0,218270000.0,218270000.0,218270000.0
KANELIND.bo,-251724899.0,194859100.0,194859100.0,194859100.0
WHIRLPOOL.bo,1268700000.0,1268700000.0,1268700000.0,1268700000.0
KGDENIM.bo,233900000.0,344279000.0,324120000.0,290449000.0
KINETICENG.bo,53300000.0,61481000.0,50430000.0,58591000.0
KIRLOSBROS.bo,28478827000,26658834000,25545810000,24508972000
KIRLOSIND.bo,97100000.0,97100000.0,97100000.0,97087000.0
KIRLFER.bo,689100000.0,688200000.0,686500000.0,686500000.0
ENVAIREL.bo,46400000.0,30400000.0,30400000.0,30400000.0
KOTAKBANK.bo,117103110000.0,129432256000.0,105906637000.0,91508345000.0
MAVIIND.bo,135500,135500,135500,161263
KSB.bo,NaN,NaN,NaN,NaN
LGBBROSLTD.bo,135282000.0,323646000.0,171037000.0,345087000.0
TRENT.bo,55066800000.0,25587600000.0,23358600000.0,22222500000.0
LAXMIMACH.bo,1036748000.0,584442000.0,631141000.0,523490000.0
LICHSGFIN.bo,2169197400000,2007074200000,1712281600000,1509970411000
UTTAMVALUE.bo,19289500000.0,16788600000.0,17116400000.0,20282500000.0
LUPIN.bo,249838500000,279493700000,263053800000,266072800000
LYKALABS.bo,89665000,193187000,111537000,108605000
RAMCOCEM.bo,235600000.0,235600000.0,235600000.0,238100000.0
MAFATIND.bo,8164440000,10058993000,13916288000,11981901000
MAHSEAMLES.bo,334998000.0,334998000.0,334998000.0,960906000.0
MAHSCOOTER.bo,4256176000.0,3602511000.0,3328651000.0,3132673000.0
MAJESAUT.bo,5601477000.0,6448931000.0,7565593000.0,8243222000.0
MANALIPETC.bo,122326000.0,124407000.0,96688000.0,194172000.0
MFSL.bo,100600000.0,964016000.0,929287000.0,7674861000.0
MESPHAR-B.bo,394623.0,395918.0,395918.0,394768.0
MIDINDIA.bo,392050.0,226100.0,508490.0,415790.0
MIRCELECTR.bo,5774644000,5128299000,5425557000,5173382000
CENTENKA.bo,218500000,218500000,218500000,218500000
LORDSCHLO.bo,79555000.0,61609000.0,91596000.0,110755000.0
SPICEJET.bo,2261610000.0,1134190000.0,1703030000.0,2149000000.0
MOREPENLAB.bo,6634639000.0,6151774000.0,5858064000.0,5382894000.0
MRF.bo,194423400000.0,184412600000.0,164784800000.0,150484700000.0
HEIDELBERG.bo,2266100000,2266100000,2266100000,2266100000
NCC.bo,138118900000,146603700000,124083700000,111094770000
VEDL.bo,1836220000000,2020430000000,1845850000000,1990300000000
NAHARSPING.bo,180327000.0,180327000.0,180327000.0,180327000.0
NATPEROX.bo,75745000.0,95658000.0,18104000.0,24097000.0
GRASIM.bo,106729500000.0,101354100000.0,91718600000.0,41860400000.0
PEL.bo,749085800000.0,856134500000.0,728003900000.0,482393600000.0
NIITLTD.bo,20203310000,14894400000,14047690000,13960910000
JAYKAY.bo,16285247,1466697,1670667,1644338
NIRLON.bo,172110000.0,147229000.0,155095000.0,106805000.0
ONGC.bo,62901390000.0,62901390000.0,64166170000.0,64166170000.0
OILCOUNTUB.bo,52783000.0,76702000.0,62517000.0,128522000.0
ORIENTHOT.bo,178599000.0,178599000.0,178599000.0,178599000.0
OSWALAGRO.bo,85025620.0,59050960.0,350860.0,22481680.0
INDSUCR.bo,106826321.0,139574792.0,83560446.0,161906508.0
RELIANCE.bo,11659150000000,10024060000000,8163480000000,7123390000000
PILITA.bo,235000000.0,235000000.0,235000000.0,217600000.0
PENTAGRAPH.bo,,415026000.0,415026000.0,415026000.0
RAYMOND.bo,77471438000,66644500000,61089846000,52522959000
PIDILITIND.bo,65357000000.0,59145100000.0,52044600000.0,47741900000.0
PIXTRANS.bo,136241000.0,136241000.0,136241000.0,136200000.0
BIRLACORPN.bo,770100000,770100000,770100000,770053000
SURYAROSNI.bo,415100000.0,584700000.0,720400000.0,545400000.0
PRIMESECU.bo,230000000.0,85800000.0,69477000.0,55424000.0
PRSMJOHNSN.bo,NaN,NaN,NaN,NaN
RAIN.bo,,,,
AMJLAND.bo,28300000.0,41935000.0,72776000.0,105936000.0
PUNJCOMMU.bo,45357000,45489000,47896000,52124000
RSWM.bo,235508000.0,235508000.0,235508000.0,235508000.0
RAJSREESUG.bo,89622000.0,70038000.0,128777000.0,1113351000.0
RALLIS.bo,24484782000.0,21626123000.0,19985917000.0,17327109000.0
RAMANEWS.bo,10742000.0,39566000.0,19710000.0,31857000.0
RAMAPPR-B.bo,58933000.0,64000.0,64000.0,64000.0
RAMAPETRO.bo,-618747400.0,-590026093.0,-602673304.0,-638641715.0
RAPICUT.bo,53712450.0,53712450.0,53712450.0,53712450.0
WELSPLSOL.bo,NaN,NaN,NaN,NaN
ROLTA.bo,1658900000.0,1658900000.0,1652700000.0,1642700000.0
RUBFILA.bo,67206000.0,12193000.0,1411000.0,-472000.0
RUCHISOYA.bo,,79640657000.0,77935058000.0,135232740000.0
SALORAINTL.bo,88073000.0,88073000.0,88073000.0,88073000.0
JINDALSAW.bo,154746995000,151710531000,135239411000,131257555000
JKLAKSHMI.bo,3791300000,3310400000,2777200000,2750400000
SHREECEM.bo,199441500000.0,154930500000.0,151416700000.0,111659800000.0
SKPMIL.bo,96636000.0,110934000.0,103250000.0,78824000.0
RELINFRA.bo,82026700000.0,73119700000.0,119581100000.0,113211300000.0
STEELCO.bo,NaN,NaN,NaN,NaN
TATAPOWER.bo,50801900000,41753400000,39355900000,39005100000
SPMLINFRA.bo,NaN,NaN,NaN,NaN
SUNDRMFAST.bo,210100000,210100000,210100000,210100000
SUNFLAG.bo,1802200000,1802200000,1802200000,1802200000
SUPPETRO*.bo,NaN,NaN,NaN,NaN
SWARAJENG.bo,3550358000.0,3662825000.0,3474991000.0,3721577000.0
TATAELXSI.bo,156364000.0,169762000.0,90530000.0,121175000.0
ACC.bo,,,,
THERMAX.bo,238300000.0,238300000.0,238300000.0,238300000.0
TIRUMALCHM.bo,102400000,102400000,102400000,102400000
THOMASCOOK.bo,5588780000.0,8932220000.0,8073720000.0,7160530000.0
TIMEX.bo,101000000.0,101000000.0,101000000.0,101000000.0
TOKYOPLAST.bo,NaN,NaN,NaN,NaN
TORNTPHARM.bo,846200000.0,846200000.0,846200000.0,846200000.0
TRANSCHEM.bo,2173240.0,304520.0,1.0,409800.0
AMBUJACEM.bo,,,,
UTLINDS.bo,1258469.0,1258469.0,1258469.0,1258469.0
UNIPHOS.bo,13102266000.0,25101306000.0,19231290000.0,19176150000.0
VHL.bo,1635000,1561000,1370000,371449000
HINDALCO.bo,1695280000000,1528480000000,1478272700000,1469941800000
WSTCSTPAPR.bo,32308763000.0,19198614000.0,15904956000.0,16093999000.0
HOCL.bo,NaN,NaN,NaN,NaN
MPILCORPL.bo,38147000.0,63983186.0,73102280.0,18905.0
PASUPTAC.bo,866445000.0,735949000.0,462163000.0,182104000.0
KORE.bo,358557.0,739326.0,399178.0,177080.0
PGHH.bo,,,,
MUKANDLTD.bo,1414100000,1414100000,1414100000,1414100000
AGCNET.bo,3118700000.0,4768600000.0,986500000.0,1235000000.0
UCALFUEL.bo,189837000.0,194662000.0,209275000.0,180983000.0
HARRMALAYA.bo,374046000.0,275897000.0,279975000.0,264410000.0
FEDERALBNK.bo,3985325000.0,3970096000.0,3944285000.0,3448087000.0
TATASTEEL.bo,104829000000,103852300000,82036700000,77789100000
SKFINDIA.bo,33200000.0,28800000.0,196000000.0,155200000.0
ASHOKLEY.bo,NaN,NaN,NaN,NaN
CUMMINSIND.bo,2364800000,2014400000,1900400000,3346600000
TATACOMM.bo,221614700000.0,200127600000.0,196027600000.0,211022900000.0
ABBOTINDIA.bo,261243000.0,396835000.0,856910000.0,721254000.0
BAJAJHLDNG.bo,1112900000.0,1112900000.0,1112900000.0,1112900000.0
BHARATFORG.bo,115628370000.0,116422340000.0,100164210000.0,88833070000.0
ESCORTS.bo,50154000000,47081900000,39733400000,31992200000
HINDMOTORS.bo,1043296000.0,1043296000.0,1043296000.0,1043296000.0
LT.bo,403433000000,379253600000,355699600000,313660100000
M&M.bo,,,46717000000.0,42026000000.0
BOSCHLTD.bo,295000000.0,295000000.0,305000000.0,305000000.0
PREMIER.bo,208399000.0,1459215000.0,177833000.0,114681000.0
BPCL.bo,1508635600000.0,1369303800000.0,1203560600000.0,1090862600000.0
SIEMENS.bo,NaN,NaN,NaN,NaN
TATAMOTORS.bo,307938800000,312917200000,344832100000,333266000000
VOLTAS.bo,NaN,NaN,NaN,NaN
GESHIP.bo,1469700000.0,1507800000.0,1507800000.0,1507800000.0
DEEPAKFERT.bo,69312300000,71176100000,69914600000,50481300000
EXCELINDUS.bo,NaN,NaN,NaN,NaN
GARWARPOLY.bo,NaN,NaN,NaN,NaN
GLAXO.bo,879030000.0,1540397000.0,2012237000.0,1037446000.0
GNFC.bo,NaN,NaN,NaN,NaN
NOVARTIND.bo,7080400000,7474600000,7238400000,9110900000
SANOFI.bo,NaN,NaN,NaN,NaN
PFIZER.bo,457500000.0,457500000.0,457500000.0,457500000.0
GSFC.bo,NaN,NaN,NaN,NaN
HINDUNILVR.bo,201530000000.0,186290000000.0,178620000000.0,157060000000.0
AKZOINDIA.bo,NaN,NaN,NaN,NaN
NOCIL.bo,1656100000.0,1654200000.0,1644800000.0,1635800000.0
TATACHEM.bo,277522000000,269049200000,258786400000,236104600000
TNPETRO.bo,NaN,NaN,NaN,NaN
ZUARIGLOB.bo,294406000,294406000,294406000,294406000
NESTLEIND.bo,,,,
TATACONSUM.bo,NaN,NaN,NaN,NaN
ASIANPAINT.bo,959200000,959200000,959200000,959200000
BRITANNIA.bo,78422300000,62418200000,51879200000,41088000000
COLPAL.bo,527272000,439442000,2215545000,631148000
EIHOTEL.bo,44519320000,42518070000,40741840000,36892100000
INDHOTEL.bo,115182600000,95837600000,93745400000,86342800000
CASTROLIND.bo,,,,
ITC.bo,773670400000,717984100000,642888600000,559432700000
APOLLOTYRE.bo,232499870000,202033970000,201532450000,152961180000
CEATLTD.bo,NaN,NaN,NaN,NaN
MODIRUBBER.bo,250405000.0,250405000.0,250405000.0,250405000.0
FINOLEXIND.bo,1241000000.0,1241000000.0,1240954000.0,1240954000.0
SUNRINV.bo,290000.0,6000.0,8285112.0,8067487.0
